Generation,evals,avg,std,min,max,best_one,fitness_best_one
82,336,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
83,354,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
84,338,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
85,334,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
86,352,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
87,324,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
88,350,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
89,332,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
90,340,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
91,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
92,330,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
93,328,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
94,362,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
95,358,[  7.         406.64476168],[0.00000000e+00 2.84217094e-12],[  7.         406.64476168],[  7.         406.64476168],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
